title,matched_title,gutenberg_id,download_url
The Promise of World Peace,The Promise of World Peace,19286,https://www.gutenberg.org/files/19286/19286-0.txt
The Belle's Stratagem,The Belle's Stratagem,47604,https://www.gutenberg.org/files/47604/47604-0.txt
Address: Centauri,Address: Centauri,50736,https://www.gutenberg.org/ebooks/50736.txt.utf-8
She Stoops to Conquer,"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",383,https://www.gutenberg.org/files/383/383-0.txt
The Helpers,The Helpers,45133,https://www.gutenberg.org/ebooks/45133.txt.utf-8
Dariel,Dariel: A Romance of Surrey,42529,https://www.gutenberg.org/ebooks/42529.txt.utf-8
The Tale of Two Bad Mice,The Tale of Two Bad Mice,45264,https://www.gutenberg.org/ebooks/45264.txt.utf-8
The Tale of Benjamin Bunny,The Tale of Benjamin Bunny,14407,https://www.gutenberg.org/ebooks/14407.txt.utf-8
Pierre Grassou,Pierre Grassou,1230,https://www.gutenberg.org/ebooks/1230.txt.utf-8
Psmith in the City,Psmith in the City,23899,https://www.gutenberg.org/files/23899/23899-readme.txt
Zuleika Dobson,"Zuleika Dobson; Or, An Oxford Love Story",1845,https://www.gutenberg.org/files/1845/1845-0.txt
Eugene Onegin,Eugene Oneguine [Onegin]: A Romance of Russian Life in Verse,23997,https://www.gutenberg.org/files/23997/23997-0.txt
Elusive Isabel,Elusive Isabel,10943,https://www.gutenberg.org/ebooks/10943.txt.utf-8
Beyond the Black River,Beyond the Black River,42254,https://www.gutenberg.org/ebooks/42254.txt.utf-8
Elsie Venner,Elsie Venner,2696,https://www.gutenberg.org/files/2696/2696-0.txt
The Discovery of the Future,The Discovery of the Future,44867,https://www.gutenberg.org/ebooks/44867.txt.utf-8
The Research Magnificent,The Research Magnificent,1138,https://www.gutenberg.org/files/1138/1138-0.txt
The Hour of the Dragon,The Hour of the Dragon,42243,https://www.gutenberg.org/ebooks/42243.txt.utf-8
Eugénie Grandet,Eugénie Grandet,11049,https://www.gutenberg.org/ebooks/11049.txt.utf-8
The Beautiful and Damned,The Beautiful and Damned,9830,https://www.gutenberg.org/files/9830/9830-0.txt
The Recruiting Officer,The Recruiting Officer,37012,https://www.gutenberg.org/files/37012/37012-0.txt
Perlycross,Perlycross: A Tale of the Western Hills,45038,https://www.gutenberg.org/ebooks/45038.txt.utf-8
The Iron Heel,The iron heel,1164,https://www.gutenberg.org/files/1164/1164-0.txt
First Lensman,First Lensman,49525,https://www.gutenberg.org/ebooks/49525.txt.utf-8
The Cloister and the Hearth,The Cloister and the Hearth,1366,https://www.gutenberg.org/files/1366/1366-0.txt
King Solomon's Mines,King Solomon's Mines,2166,https://www.gutenberg.org/files/2166/2166-0.txt
War and the Future,"War and the Future: Italy, France and Britain at War",1804,https://www.gutenberg.org/files/1804/1804-0.txt
Desperate Remedies,Desperate Remedies,3044,https://www.gutenberg.org/files/3044/3044-0.txt
The Vicar of Wakefield,The Vicar of Wakefield,21601,https://www.gutenberg.org/files/21601/21601-readme.txt
The Road to Oz,The Road to Oz,21174,https://www.gutenberg.org/files/21174/21174-readme.txt
The Man of Feeling,The Man of Feeling,5083,https://www.gutenberg.org/files/5083/5083-0.txt
The Deserted Village,The Deserted Village,50500,https://www.gutenberg.org/ebooks/50500.txt.utf-8
The Aspern Papers,The Aspern Papers,211,https://www.gutenberg.org/files/211/211-0.txt
The Way of the World,The Way of the World,1292,https://www.gutenberg.org/files/1292/1292-0.txt
Alexander's Bridge,Alexander's Bridge,22348,https://www.gutenberg.org/files/22348/22348-readme.txt
The Sea Hawk,"The Observations of Sir Richard Hawkins, Knt, in his Voyage into the South Sea in the Year 1593: Reprinted from the Edition of 1622",57502,https://www.gutenberg.org/files/57502/57502-0.txt
